slno,gx,gy,gz,ax,ay,az
104,-20.99236641,-1.022900763,-12.77862595,0.2099609375,2,-0.8850097656
105,-1.007633588,-2.022900763,1.221374046,0.0224609375,-0.9033203125,0.1984863281
106,-6.740458015,0.6946564885,-5.534351145,-0.5654296875,-1.266357422,-0.7978515625
107,6.442748092,0.6641221374,11.27480916,-0.06103515625,0.2927246094,-0.3234863281
108,-10.78625954,9.610687023,7.664122137,0.1059570313,-1.048583984,1.999938965
109,-4.305343511,3.541984733,6.335877863,-0.5317382813,-0.3833007813,0.0390625
110,3.41221374,-5.229007634,-4.65648855,-0.7927246094,-0.3120117188,0.44921875
111,7.541984733,-6.687022901,-9.755725191,-0.4208984375,-0.2741699219,0.2661132813
112,-2.106870229,5.030534351,2.900763359,-1.366210938,2,-0.4165039063
113,7.709923664,-9.297709924,7.526717557,-0.1867675781,-1.731689453,0.1057128906
114,-1.465648855,0.1984732824,3.709923664,0.05932617188,-1.072998047,0.01318359375
115,3.259541985,1.664122137,-1.198473282,-0.04956054688,-0.8876953125,0.06420898438
116,-3.618320611,5.847328244,-13.41221374,-0.6022949219,2,0.1423339844
117,17.83206107,-6.290076336,12.8778626,0.1157226563,0.537109375,-0.2907714844
118,5.290076336,0.9923664122,-1.541984733,-1.134521484,-0.9670410156,0.03759765625
119,-9.86259542,4.480916031,-0.7251908397,-0.4399414063,-1.470703125,-0.80078125
120,-9.122137405,21.40458015,15.61832061,-0.06616210938,2,-0.3371582031
121,-28.03053435,17.27480916,1.786259542,-0.7580566406,2,-0.05102539063
122,-7.167938931,6.221374046,-2.992366412,-0.3315429688,-1.406738281,0.529296875
123,9.435114504,-15.26717557,-7.641221374,0.0224609375,-0.3859863281,0.1052246094
124,3.213740458,-1.992366412,11.76335878,0.1279296875,0.3916015625,-0.5070800781
125,-11.57251908,3.167938931,-34.48091603,2,2,1.993164063
126,1.946564885,-4.763358779,0.3129770992,-0.654296875,-0.6533203125,-0.015625
127,1.320610687,0.3511450382,-0.7480916031,-0.4758300781,-0.65625,-0.3547363281
128,-3.061068702,0.4732824427,-7.251908397,-0.1638183594,-1.493896484,0.08056640625
129,7.305343511,2.946564885,5.86259542,0.06420898438,-0.2348632813,-0.6616210938
130,8.06870229,-11.32824427,1.564885496,-1.001464844,-0.7802734375,-0.7746582031
131,-3.366412214,-2.702290076,1.732824427,0.05517578125,-1.083007813,0.255859375
132,-7.312977099,-3.679389313,-8.86259542,-0.6384277344,2,0.4189453125
133,-0.3358778626,1.152671756,-2.198473282,-0.2709960938,-0.6501464844,-0.3251953125
134,1.267175573,10.14503817,-18.70229008,-0.89453125,2,0.5458984375
