slno	gx	gy	gz	ax	ay	az
42	-0.8702290076335878	-3.5801526717557253	-1.0	0.006103515625	-1.0283203125	0.26708984375
43	2.3282442748091605	-3.068702290076336	-6.259541984732825	-1.08544921875	-1.474365234375	0.19921875
44	-8.977099236641221	4.656488549618321	4.564885496183206	-0.080078125	-0.315185546875	1.5625
45	6.648854961832061	3.1297709923664123	3.381679389312977	-0.151611328125	2.0	-0.817626953125
46	7.33587786259542	-8.206106870229007	-6.9541984732824424	-0.3046875	-0.328857421875	-0.092041015625
47	0.8549618320610687	-3.4198473282442747	1.1526717557251909	-0.380615234375	0.141845703125	-0.3662109375
48	10.435114503816793	-0.7099236641221374	4.129770992366412	-0.4677734375	-0.49755859375	-0.285400390625
49	15.106870229007633	7.526717557251908	17.31297709923664	-0.446533203125	2.0	-1.604736328125
50	-12.419847328244275	10.267175572519085	2.3587786259541983	-0.650146484375	-1.803466796875	0.2314453125
51	2.50381679389313	-5.236641221374046	-1.1526717557251909	-0.382080078125	-1.029052734375	-0.04833984375
52	-6.458015267175573	-2.0610687022900764	-0.24427480916030533	-0.2890625	-0.623779296875	0.62744140625
53	-10.633587786259541	16.61832061068702	-7.015267175572519	-0.671875	-1.9912109375	0.545654296875
54	-6.190839694656488	2.633587786259542	-4.206106870229007	-0.50439453125	-0.837890625	0.4677734375
55	-0.7251908396946565	0.5114503816793893	-0.24427480916030533	-0.52587890625	-0.830810546875	-0.02685546875
56	-1.618320610687023	3.3053435114503817	0.6564885496183206	0.033447265625	-1.78662109375	0.0673828125
57	-19.984732824427482	1.5038167938931297	-0.4732824427480916	-0.6044921875	2.0	-0.968994140625
58	3.236641221374046	1.2748091603053435	1.1755725190839694	-0.245361328125	-0.296142578125	1.092529296875
59	-0.16793893129770993	-4.297709923664122	-0.9541984732824428	0.0341796875	-1.28125	-0.516357421875
60	10.0	-2.7251908396946565	-2.6259541984732824	-0.19873046875	-1.253173828125	-0.2529296875
61	8.908396946564885	-1.015267175572519	0.9007633587786259	-0.01318359375	-0.20751953125	-0.17333984375
62	-6.549618320610687	4.015267175572519	1.3129770992366412	-0.319091796875	-1.70361328125	0.109619140625
63	9.01526717557252	-4.091603053435114	-3.6717557251908395	-0.18359375	0.12744140625	-0.3115234375
64	1.3053435114503817	-0.26717557251908397	2.854961832061069	-0.548095703125	-0.622314453125	-0.19189453125
65	2.801526717557252	5.412213740458015	-9.977099236641221	-0.37060546875	-1.300048828125	-0.516357421875
66	2.8244274809160306	-1.786259541984733	-7.854961832061068	0.1484375	0.6806640625	-0.159423828125
67	-17.48854961832061	0.05343511450381679	6.923664122137405	-0.52587890625	-1.16357421875	0.534423828125
68	-17.106870229007633	4.862595419847328	11.450381679389313	-0.196533203125	-1.29052734375	-0.241943359375
69	-6.419847328244275	3.877862595419847	9.977099236641221	0.01416015625	0.026123046875	0.794189453125
70	1.0305343511450382	-11.19083969465649	1.534351145038168	-1.4951171875	2.0	0.736083984375
71	7.099236641221374	0.007633587786259542	1.5954198473282444	-0.450439453125	-0.90869140625	-0.48291015625
72	-27.206106870229007	18.72519083969466	4.267175572519084	-0.234619140625	-0.389892578125	-0.154052734375
73	-0.183206106870229	3.122137404580153	-1.213740458015267	-0.5517578125	-0.619384765625	-0.19482421875
74	3.816793893129771	-2.877862595419847	-10.312977099236642	0.775634765625	0.042724609375	0.11767578125
75	18.633587786259543	-7.221374045801527	0.48854961832061067	0.385009765625	-0.80517578125	-0.80859375
76	-7.702290076335878	2.2748091603053435	-0.6641221374045801	0.587158203125	-1.3310546875	1.391357421875
